x,y,label,filename,slide,split,tumortype
4361.0,371.0,0,001.tiff,1,train,human breast cancer
781.0,897.0,0,001.tiff,1,train,human breast cancer
295.0,4069.0,0,001.tiff,1,train,human breast cancer
6697.5,731.5,0,001.tiff,1,train,human breast cancer
1897.0,344.0,0,002.tiff,2,train,human breast cancer
4422.0,216.0,1,002.tiff,2,train,human breast cancer
1867.0,1583.0,1,002.tiff,2,train,human breast cancer
3808.0,2371.0,0,002.tiff,2,train,human breast cancer
5344.0,3277.0,1,002.tiff,2,train,human breast cancer
6267.0,3218.0,1,002.tiff,2,train,human breast cancer
7070.0,3816.0,0,002.tiff,2,train,human breast cancer
4475.0,4084.0,0,002.tiff,2,train,human breast cancer
4661.0,4319.0,1,002.tiff,2,train,human breast cancer
1331.0,4937.0,1,002.tiff,2,train,human breast cancer
4366.0,5238.0,0,002.tiff,2,train,human breast cancer
3708.0,5270.0,0,002.tiff,2,train,human breast cancer
1316.5,2783.0,1,002.tiff,2,train,human breast cancer
3531.5,2486.5,1,002.tiff,2,train,human breast cancer
4607.0,2361.0,0,002.tiff,2,train,human breast cancer
2197.0,3257.5,1,002.tiff,2,train,human breast cancer
1876.0,756.0,0,003.tiff,3,train,human breast cancer
2199.0,822.0,1,003.tiff,3,train,human breast cancer
2707.0,673.0,0,003.tiff,3,train,human breast cancer
1713.0,494.0,0,003.tiff,3,train,human breast cancer
1101.0,421.0,1,003.tiff,3,train,human breast cancer
1044.0,831.0,1,003.tiff,3,train,human breast cancer
3824.0,587.0,0,003.tiff,3,train,human breast cancer
4372.0,588.0,0,003.tiff,3,train,human breast cancer
4888.0,456.0,1,003.tiff,3,train,human breast cancer
1019.0,1450.0,1,003.tiff,3,train,human breast cancer
1110.0,985.0,1,003.tiff,3,train,human breast cancer
5325.0,2163.0,1,003.tiff,3,train,human breast cancer
4885.0,2134.0,0,003.tiff,3,train,human breast cancer
2640.0,3145.0,1,003.tiff,3,train,human breast cancer
3827.0,2982.0,0,003.tiff,3,train,human breast cancer
1460.0,3647.0,0,003.tiff,3,train,human breast cancer
3443.0,3328.0,0,003.tiff,3,train,human breast cancer
3810.0,3882.0,0,003.tiff,3,train,human breast cancer
3934.0,3468.0,1,003.tiff,3,train,human breast cancer
3726.0,4273.0,1,003.tiff,3,train,human breast cancer
3958.0,4564.0,1,003.tiff,3,train,human breast cancer
3608.0,4589.0,0,003.tiff,3,train,human breast cancer
4149.0,3947.0,0,003.tiff,3,train,human breast cancer
4597.0,2981.0,0,003.tiff,3,train,human breast cancer
6798.0,3697.0,0,003.tiff,3,train,human breast cancer
2236.0,765.0,1,004.tiff,4,train,human breast cancer
2364.0,623.0,0,004.tiff,4,train,human breast cancer
374.0,332.0,1,004.tiff,4,train,human breast cancer
609.0,769.0,0,004.tiff,4,train,human breast cancer
4934.0,734.0,0,004.tiff,4,train,human breast cancer
1242.0,1436.0,0,004.tiff,4,train,human breast cancer
625.0,1122.0,0,004.tiff,4,train,human breast cancer
1095.0,1210.0,0,004.tiff,4,train,human breast cancer
3905.0,1035.0,0,004.tiff,4,train,human breast cancer
312.0,1707.0,0,004.tiff,4,train,human breast cancer
1560.0,1888.0,0,004.tiff,4,train,human breast cancer
953.0,2385.0,0,004.tiff,4,train,human breast cancer
1549.0,2420.0,0,004.tiff,4,train,human breast cancer
2190.0,2576.0,0,004.tiff,4,train,human breast cancer
4272.0,2852.0,1,004.tiff,4,train,human breast cancer
2173.0,3656.0,0,004.tiff,4,train,human breast cancer
2707.0,3771.0,0,004.tiff,4,train,human breast cancer
4766.0,3714.0,0,004.tiff,4,train,human breast cancer
2141.0,2069.5,0,004.tiff,4,train,human breast cancer
1500.0,3000.0,1,005.tiff,5,train,human breast cancer
6473.0,2402.0,1,005.tiff,5,train,human breast cancer
2968.0,3282.0,0,005.tiff,5,train,human breast cancer
4620.0,3531.0,1,005.tiff,5,train,human breast cancer
4015.0,5000.0,0,005.tiff,5,train,human breast cancer
1656.0,410.0,0,006.tiff,6,train,human breast cancer
1909.0,741.0,0,006.tiff,6,train,human breast cancer
805.0,254.0,0,006.tiff,6,train,human breast cancer
629.0,239.0,0,006.tiff,6,train,human breast cancer
501.0,623.0,0,006.tiff,6,train,human breast cancer
35.0,391.0,0,006.tiff,6,train,human breast cancer
55.0,152.0,0,006.tiff,6,train,human breast cancer
3791.0,160.0,0,006.tiff,6,train,human breast cancer
3653.0,784.0,0,006.tiff,6,train,human breast cancer
137.0,1064.0,0,006.tiff,6,train,human breast cancer
704.0,1570.0,1,006.tiff,6,train,human breast cancer
2952.0,1041.0,0,006.tiff,6,train,human breast cancer
2272.0,999.0,0,006.tiff,6,train,human breast cancer
2149.0,1410.0,0,006.tiff,6,train,human breast cancer
745.0,1685.0,1,006.tiff,6,train,human breast cancer
2713.0,1664.0,0,006.tiff,6,train,human breast cancer
1991.0,2284.0,0,006.tiff,6,train,human breast cancer
6819.0,2225.0,0,006.tiff,6,train,human breast cancer
203.0,2563.0,0,006.tiff,6,train,human breast cancer
2754.0,3644.0,0,006.tiff,6,train,human breast cancer
3198.0,3762.0,1,006.tiff,6,train,human breast cancer
4318.0,3192.0,1,006.tiff,6,train,human breast cancer
4439.0,3271.0,1,006.tiff,6,train,human breast cancer
5620.0,3714.0,0,006.tiff,6,train,human breast cancer
3948.0,4629.0,1,006.tiff,6,train,human breast cancer
3417.0,4341.0,0,006.tiff,6,train,human breast cancer
6512.5,4647.5,0,006.tiff,6,train,human breast cancer
897.5,1361.5,0,006.tiff,6,train,human breast cancer
6937.0,294.5,0,006.tiff,6,train,human breast cancer
4702.0,1393.5,0,006.tiff,6,train,human breast cancer
3598.5,1665.5,0,006.tiff,6,train,human breast cancer
3549.0,1878.5,0,006.tiff,6,train,human breast cancer
4843.0,4154.0,0,006.tiff,6,train,human breast cancer
1322.5,2798.5,0,006.tiff,6,train,human breast cancer
6094.0,96.5,0,006.tiff,6,train,human breast cancer
1418.0,3739.0,0,006.tiff,6,train,human breast cancer
2623.0,730.0,1,007.tiff,7,train,human breast cancer
1819.0,653.0,1,007.tiff,7,train,human breast cancer
1108.0,777.0,1,007.tiff,7,train,human breast cancer
275.0,145.0,0,007.tiff,7,train,human breast cancer
149.0,786.0,0,007.tiff,7,train,human breast cancer
2919.0,349.0,1,007.tiff,7,train,human breast cancer
3589.0,278.0,1,007.tiff,7,train,human breast cancer
4230.0,250.0,1,007.tiff,7,train,human breast cancer
6968.0,448.0,1,007.tiff,7,train,human breast cancer
941.0,956.0,0,007.tiff,7,train,human breast cancer
3760.0,1080.0,1,007.tiff,7,train,human breast cancer
5244.0,947.0,0,007.tiff,7,train,human breast cancer
6248.0,821.0,1,007.tiff,7,train,human breast cancer
1178.0,2064.0,0,007.tiff,7,train,human breast cancer
1510.0,1773.0,1,007.tiff,7,train,human breast cancer
2281.0,2142.0,0,007.tiff,7,train,human breast cancer
3031.0,1823.0,0,007.tiff,7,train,human breast cancer
3673.0,1980.0,0,007.tiff,7,train,human breast cancer
2088.0,2485.0,1,007.tiff,7,train,human breast cancer
3405.0,2563.0,1,007.tiff,7,train,human breast cancer
3813.0,2590.0,0,007.tiff,7,train,human breast cancer
961.0,3375.0,1,007.tiff,7,train,human breast cancer
54.0,3660.0,0,007.tiff,7,train,human breast cancer
1128.0,3907.0,0,007.tiff,7,train,human breast cancer
5593.0,3198.0,1,007.tiff,7,train,human breast cancer
6993.0,3553.0,1,007.tiff,7,train,human breast cancer
6301.0,3796.0,0,007.tiff,7,train,human breast cancer
6089.0,3758.0,1,007.tiff,7,train,human breast cancer
6898.0,3323.0,1,007.tiff,7,train,human breast cancer
2046.0,3969.0,1,007.tiff,7,train,human breast cancer
2057.0,4431.0,0,007.tiff,7,train,human breast cancer
3010.0,4459.0,0,007.tiff,7,train,human breast cancer
4078.0,4330.0,0,007.tiff,7,train,human breast cancer
2824.0,5019.0,1,007.tiff,7,train,human breast cancer
3612.0,5179.0,1,007.tiff,7,train,human breast cancer
4001.0,5127.0,1,007.tiff,7,train,human breast cancer
4398.0,5021.0,0,007.tiff,7,train,human breast cancer
6681.0,2815.0,0,007.tiff,7,train,human breast cancer
6922.5,2004.0,1,007.tiff,7,train,human breast cancer
6607.5,4882.5,0,007.tiff,7,train,human breast cancer
4412.0,610.0,0,008.tiff,8,train,human breast cancer
3939.0,1214.0,1,008.tiff,8,train,human breast cancer
931.0,1847.0,0,008.tiff,8,train,human breast cancer
4106.0,2183.0,0,008.tiff,8,train,human breast cancer
2283.0,2757.0,0,008.tiff,8,train,human breast cancer
1661.0,3539.0,0,008.tiff,8,train,human breast cancer
2325.0,3359.0,0,008.tiff,8,train,human breast cancer
2147.0,4055.0,0,008.tiff,8,train,human breast cancer
4680.0,4271.0,1,008.tiff,8,train,human breast cancer
405.0,5104.0,1,008.tiff,8,train,human breast cancer
6291.0,5365.0,1,008.tiff,8,train,human breast cancer
3148.0,239.0,0,008.tiff,8,train,human breast cancer
2928.5,3076.5,0,008.tiff,8,train,human breast cancer
1019.0,5098.0,0,008.tiff,8,train,human breast cancer
3429.0,4016.0,0,008.tiff,8,train,human breast cancer
3872.5,4997.5,0,008.tiff,8,train,human breast cancer
887.0,1529.0,1,008.tiff,8,train,human breast cancer
788.0,1011.0,0,008.tiff,8,train,human breast cancer
3849.0,17.5,0,008.tiff,8,train,human breast cancer
6420.0,4532.0,1,008.tiff,8,train,human breast cancer
245.5,4977.5,0,008.tiff,8,train,human breast cancer
2830.0,1044.0,0,009.tiff,9,train,human breast cancer
2391.0,1964.0,1,009.tiff,9,train,human breast cancer
2300.0,1597.0,1,009.tiff,9,train,human breast cancer
2006.0,2533.0,0,009.tiff,9,train,human breast cancer
4278.0,3203.0,1,009.tiff,9,train,human breast cancer
5294.0,3297.0,1,009.tiff,9,train,human breast cancer
926.0,3947.0,0,009.tiff,9,train,human breast cancer
1229.0,4197.0,0,009.tiff,9,train,human breast cancer
552.0,3144.5,0,009.tiff,9,train,human breast cancer
5085.0,3765.5,0,009.tiff,9,train,human breast cancer
90.5,3700.5,0,009.tiff,9,train,human breast cancer
1619.5,3060.5,0,009.tiff,9,train,human breast cancer
6319.0,3449.0,0,009.tiff,9,train,human breast cancer
1400.5,3327.0,0,009.tiff,9,train,human breast cancer
697.0,4171.0,0,009.tiff,9,train,human breast cancer
1624.0,1732.5,0,009.tiff,9,train,human breast cancer
6716.5,2774.0,0,009.tiff,9,train,human breast cancer
1861.0,3234.0,0,009.tiff,9,train,human breast cancer
4582.0,1298.0,0,009.tiff,9,train,human breast cancer
1705.0,4525.5,0,009.tiff,9,train,human breast cancer
5634.0,2291.5,0,009.tiff,9,train,human breast cancer
858.5,1501.5,0,009.tiff,9,train,human breast cancer
5078.5,2702.5,0,009.tiff,9,train,human breast cancer
956.0,944.5,0,009.tiff,9,train,human breast cancer
2147.5,3069.5,0,009.tiff,9,train,human breast cancer
2797.5,774.0,0,009.tiff,9,train,human breast cancer
746.0,172.0,1,010.tiff,10,train,human breast cancer
247.0,466.0,1,010.tiff,10,train,human breast cancer
6034.0,680.0,0,010.tiff,10,train,human breast cancer
5433.0,1263.0,1,010.tiff,10,train,human breast cancer
5266.0,1437.0,0,010.tiff,10,train,human breast cancer
6733.0,1551.0,0,010.tiff,10,train,human breast cancer
957.0,1707.0,0,010.tiff,10,train,human breast cancer
1435.0,2252.0,1,010.tiff,10,train,human breast cancer
3204.0,1896.0,1,010.tiff,10,train,human breast cancer
3764.0,1780.0,1,010.tiff,10,train,human breast cancer
4897.0,2109.0,0,010.tiff,10,train,human breast cancer
2250.0,3069.0,1,010.tiff,10,train,human breast cancer
6086.0,2565.0,0,010.tiff,10,train,human breast cancer
4442.0,3502.0,1,010.tiff,10,train,human breast cancer
5402.0,3409.0,0,010.tiff,10,train,human breast cancer
6230.0,3583.0,0,010.tiff,10,train,human breast cancer
1383.0,4056.0,0,010.tiff,10,train,human breast cancer
1670.0,4495.0,0,010.tiff,10,train,human breast cancer
2575.0,4451.0,1,010.tiff,10,train,human breast cancer
3273.0,4452.0,1,010.tiff,10,train,human breast cancer
2227.0,5376.0,1,010.tiff,10,train,human breast cancer
2661.0,4838.0,0,010.tiff,10,train,human breast cancer
2953.0,5014.0,1,010.tiff,10,train,human breast cancer
3863.0,4728.0,1,010.tiff,10,train,human breast cancer
3695.0,5224.0,0,010.tiff,10,train,human breast cancer
4943.0,3346.0,1,010.tiff,10,train,human breast cancer
4455.5,4729.5,0,010.tiff,10,train,human breast cancer
497.5,1505.0,0,010.tiff,10,train,human breast cancer
5091.0,4589.5,0,010.tiff,10,train,human breast cancer
804.0,4638.5,0,010.tiff,10,train,human breast cancer
4033.0,253.0,1,011.tiff,11,val,human breast cancer
4039.0,1992.0,1,011.tiff,11,val,human breast cancer
5645.0,3290.0,1,011.tiff,11,val,human breast cancer
1439.0,1506.0,0,012.tiff,12,val,human breast cancer
5477.0,1906.0,0,012.tiff,12,val,human breast cancer
6202.0,1820.0,0,012.tiff,12,val,human breast cancer
3718.0,3624.0,0,012.tiff,12,val,human breast cancer
6910.0,3412.0,0,012.tiff,12,val,human breast cancer
1826.0,4437.0,0,012.tiff,12,val,human breast cancer
3756.0,4053.0,1,012.tiff,12,val,human breast cancer
4224.0,4081.0,0,012.tiff,12,val,human breast cancer
2716.0,4837.0,0,012.tiff,12,val,human breast cancer
3387.0,4748.0,0,012.tiff,12,val,human breast cancer
6547.5,1242.0,0,012.tiff,12,val,human breast cancer
1364.5,4076.5,0,012.tiff,12,val,human breast cancer
6750.0,1227.0,1,012.tiff,12,val,human breast cancer
6795.5,420.5,0,012.tiff,12,val,human breast cancer
2537.0,154.0,1,013.tiff,13,train,human breast cancer
6033.0,722.0,1,013.tiff,13,train,human breast cancer
2123.0,1570.0,1,013.tiff,13,train,human breast cancer
1848.0,1605.0,1,013.tiff,13,train,human breast cancer
231.0,1865.0,0,013.tiff,13,train,human breast cancer
199.0,2148.0,1,013.tiff,13,train,human breast cancer
5243.0,1969.0,1,013.tiff,13,train,human breast cancer
5324.0,2234.0,1,013.tiff,13,train,human breast cancer
1295.0,2959.0,1,013.tiff,13,train,human breast cancer
1710.0,2861.0,1,013.tiff,13,train,human breast cancer
4626.0,2659.0,1,013.tiff,13,train,human breast cancer
5221.0,2569.0,0,013.tiff,13,train,human breast cancer
2019.0,3859.0,0,013.tiff,13,train,human breast cancer
4928.0,3395.0,1,013.tiff,13,train,human breast cancer
6821.0,3779.0,1,013.tiff,13,train,human breast cancer
455.0,4108.0,0,013.tiff,13,train,human breast cancer
2006.0,4126.0,0,013.tiff,13,train,human breast cancer
2434.0,4216.0,0,013.tiff,13,train,human breast cancer
3064.0,3994.0,1,013.tiff,13,train,human breast cancer
5011.0,4565.0,1,013.tiff,13,train,human breast cancer
5267.0,3963.0,1,013.tiff,13,train,human breast cancer
336.0,4747.0,0,013.tiff,13,train,human breast cancer
3656.0,5377.0,1,013.tiff,13,train,human breast cancer
3727.0,5362.0,1,013.tiff,13,train,human breast cancer
3069.0,4944.0,0,013.tiff,13,train,human breast cancer
4956.0,4987.0,0,013.tiff,13,train,human breast cancer
5574.0,5238.0,0,013.tiff,13,train,human breast cancer
6195.0,5155.0,0,013.tiff,13,train,human breast cancer
3118.0,1384.0,1,013.tiff,13,train,human breast cancer
161.0,662.0,0,013.tiff,13,train,human breast cancer
6369.0,2361.5,0,013.tiff,13,train,human breast cancer
3242.0,4158.0,0,013.tiff,13,train,human breast cancer
3052.0,3021.0,0,013.tiff,13,train,human breast cancer
1873.0,75.0,0,014.tiff,14,val,human breast cancer
1100.0,744.0,0,014.tiff,14,val,human breast cancer
3120.0,778.0,0,014.tiff,14,val,human breast cancer
3450.0,372.0,1,014.tiff,14,val,human breast cancer
6956.0,323.0,0,014.tiff,14,val,human breast cancer
1839.0,1366.0,1,014.tiff,14,val,human breast cancer
3732.0,1355.0,1,014.tiff,14,val,human breast cancer
2871.0,1972.0,0,014.tiff,14,val,human breast cancer
5064.0,3264.0,1,014.tiff,14,val,human breast cancer
6764.0,3655.0,1,014.tiff,14,val,human breast cancer
928.0,4105.0,0,014.tiff,14,val,human breast cancer
4079.0,4419.0,0,014.tiff,14,val,human breast cancer
1681.5,1763.5,1,014.tiff,14,val,human breast cancer
2315.5,2154.5,0,014.tiff,14,val,human breast cancer
2148.0,1707.5,0,014.tiff,14,val,human breast cancer
404.0,682.0,1,014.tiff,14,val,human breast cancer
4457.0,1420.0,0,014.tiff,14,val,human breast cancer
2058.5,1073.5,0,014.tiff,14,val,human breast cancer
5551.0,4321.5,0,014.tiff,14,val,human breast cancer
3966.5,2876.5,0,014.tiff,14,val,human breast cancer
5552.0,1936.5,0,014.tiff,14,val,human breast cancer
1259.0,1166.0,1,014.tiff,14,val,human breast cancer
5557.5,2860.5,0,014.tiff,14,val,human breast cancer
6478.0,4353.0,0,014.tiff,14,val,human breast cancer
6032.0,1878.5,0,014.tiff,14,val,human breast cancer
4316.0,700.0,0,015.tiff,15,train,human breast cancer
5763.0,835.0,0,015.tiff,15,train,human breast cancer
3779.0,2334.0,0,015.tiff,15,train,human breast cancer
4093.0,2267.0,1,015.tiff,15,train,human breast cancer
3739.0,3050.0,0,015.tiff,15,train,human breast cancer
4974.0,3061.0,1,015.tiff,15,train,human breast cancer
1037.0,4534.0,0,015.tiff,15,train,human breast cancer
3114.0,4502.0,1,015.tiff,15,train,human breast cancer
3761.0,4992.0,0,015.tiff,15,train,human breast cancer
4942.0,4622.0,0,015.tiff,15,train,human breast cancer
4615.0,5088.5,0,015.tiff,15,train,human breast cancer
2448.0,4721.5,0,015.tiff,15,train,human breast cancer
1052.0,482.0,1,016.tiff,16,val,human breast cancer
3731.0,566.0,0,016.tiff,16,val,human breast cancer
3166.0,408.0,0,016.tiff,16,val,human breast cancer
4566.0,252.0,0,016.tiff,16,val,human breast cancer
5676.0,607.0,0,016.tiff,16,val,human breast cancer
5098.0,1246.0,0,016.tiff,16,val,human breast cancer
3941.0,2046.0,1,016.tiff,16,val,human breast cancer
5614.0,2044.0,0,016.tiff,16,val,human breast cancer
6323.0,2286.0,0,016.tiff,16,val,human breast cancer
639.0,2711.0,1,016.tiff,16,val,human breast cancer
703.0,2952.0,0,016.tiff,16,val,human breast cancer
7157.0,2840.0,1,016.tiff,16,val,human breast cancer
3970.0,3751.0,0,016.tiff,16,val,human breast cancer
3648.0,3816.0,0,016.tiff,16,val,human breast cancer
3911.0,4252.0,0,016.tiff,16,val,human breast cancer
4105.0,4935.0,0,016.tiff,16,val,human breast cancer
7126.0,5013.0,0,016.tiff,16,val,human breast cancer
6280.5,1748.5,1,016.tiff,16,val,human breast cancer
5859.5,935.0,0,016.tiff,16,val,human breast cancer
135.0,160.0,0,016.tiff,16,val,human breast cancer
1176.5,3216.0,0,016.tiff,16,val,human breast cancer
4394.0,2408.0,0,016.tiff,16,val,human breast cancer
664.5,3895.5,0,016.tiff,16,val,human breast cancer
5754.5,4737.5,0,016.tiff,16,val,human breast cancer
509.5,4891.5,1,016.tiff,16,val,human breast cancer
3540.0,4398.0,0,016.tiff,16,val,human breast cancer
2188.0,2326.0,0,016.tiff,16,val,human breast cancer
3702.0,941.0,0,016.tiff,16,val,human breast cancer
168.5,3717.5,0,016.tiff,16,val,human breast cancer
3343.5,4620.5,0,016.tiff,16,val,human breast cancer
3233.5,4295.0,0,016.tiff,16,val,human breast cancer
5750.0,3769.5,0,016.tiff,16,val,human breast cancer
1762.0,1536.0,0,017.tiff,17,train,human breast cancer
2226.0,2332.0,1,017.tiff,17,train,human breast cancer
4393.0,1901.0,1,017.tiff,17,train,human breast cancer
1763.0,3068.0,1,017.tiff,17,train,human breast cancer
990.0,4052.0,0,017.tiff,17,train,human breast cancer
