x,y,label,filename,slide,split,tumortype
4361,371,2,001.tiff,1,train,human breast cancer
781,897,2,001.tiff,1,train,human breast cancer
295,4069,2,001.tiff,1,train,human breast cancer
6697,731,2,001.tiff,1,train,human breast cancer
1897,344,2,002.tiff,2,val,human breast cancer
4422,216,1,002.tiff,2,val,human breast cancer
1867,1583,1,002.tiff,2,val,human breast cancer
3808,2371,2,002.tiff,2,val,human breast cancer
5344,3277,1,002.tiff,2,val,human breast cancer
6267,3218,1,002.tiff,2,val,human breast cancer
7070,3816,2,002.tiff,2,val,human breast cancer
4475,4084,2,002.tiff,2,val,human breast cancer
4661,4319,1,002.tiff,2,val,human breast cancer
1331,4937,1,002.tiff,2,val,human breast cancer
4366,5238,2,002.tiff,2,val,human breast cancer
3708,5270,2,002.tiff,2,val,human breast cancer
1316,2783,1,002.tiff,2,val,human breast cancer
3531,2486,1,002.tiff,2,val,human breast cancer
4607,2361,2,002.tiff,2,val,human breast cancer
2197,3257,1,002.tiff,2,val,human breast cancer
1876,756,2,003.tiff,3,train,human breast cancer
2199,822,1,003.tiff,3,train,human breast cancer
2707,673,2,003.tiff,3,train,human breast cancer
1713,494,2,003.tiff,3,train,human breast cancer
1101,421,1,003.tiff,3,train,human breast cancer
1044,831,1,003.tiff,3,train,human breast cancer
3824,587,2,003.tiff,3,train,human breast cancer
4372,588,2,003.tiff,3,train,human breast cancer
4888,456,1,003.tiff,3,train,human breast cancer
1019,1450,1,003.tiff,3,train,human breast cancer
1110,985,1,003.tiff,3,train,human breast cancer
5325,2163,1,003.tiff,3,train,human breast cancer
4885,2134,2,003.tiff,3,train,human breast cancer
2640,3145,1,003.tiff,3,train,human breast cancer
3827,2982,2,003.tiff,3,train,human breast cancer
1460,3647,2,003.tiff,3,train,human breast cancer
3443,3328,2,003.tiff,3,train,human breast cancer
3810,3882,2,003.tiff,3,train,human breast cancer
3934,3468,1,003.tiff,3,train,human breast cancer
3726,4273,1,003.tiff,3,train,human breast cancer
3958,4564,1,003.tiff,3,train,human breast cancer
3608,4589,2,003.tiff,3,train,human breast cancer
4149,3947,2,003.tiff,3,train,human breast cancer
4597,2981,2,003.tiff,3,train,human breast cancer
6798,3697,2,003.tiff,3,train,human breast cancer
2236,765,1,004.tiff,4,train,human breast cancer
2364,623,2,004.tiff,4,train,human breast cancer
374,332,1,004.tiff,4,train,human breast cancer
609,769,2,004.tiff,4,train,human breast cancer
4934,734,2,004.tiff,4,train,human breast cancer
1242,1436,2,004.tiff,4,train,human breast cancer
625,1122,2,004.tiff,4,train,human breast cancer
1095,1210,2,004.tiff,4,train,human breast cancer
3905,1035,2,004.tiff,4,train,human breast cancer
312,1707,2,004.tiff,4,train,human breast cancer
1560,1888,2,004.tiff,4,train,human breast cancer
953,2385,2,004.tiff,4,train,human breast cancer
1549,2420,2,004.tiff,4,train,human breast cancer
2190,2576,2,004.tiff,4,train,human breast cancer
4272,2852,1,004.tiff,4,train,human breast cancer
2173,3656,2,004.tiff,4,train,human breast cancer
2707,3771,2,004.tiff,4,train,human breast cancer
4766,3714,2,004.tiff,4,train,human breast cancer
2141,2069,2,004.tiff,4,train,human breast cancer
1500,3000,1,005.tiff,5,train,human breast cancer
6473,2402,1,005.tiff,5,train,human breast cancer
2968,3282,2,005.tiff,5,train,human breast cancer
4620,3531,1,005.tiff,5,train,human breast cancer
4015,5000,2,005.tiff,5,train,human breast cancer
1656,410,2,006.tiff,6,train,human breast cancer
1909,741,2,006.tiff,6,train,human breast cancer
805,254,2,006.tiff,6,train,human breast cancer
629,239,2,006.tiff,6,train,human breast cancer
501,623,2,006.tiff,6,train,human breast cancer
35,391,2,006.tiff,6,train,human breast cancer
55,152,2,006.tiff,6,train,human breast cancer
3791,160,2,006.tiff,6,train,human breast cancer
3653,784,2,006.tiff,6,train,human breast cancer
137,1064,2,006.tiff,6,train,human breast cancer
704,1570,1,006.tiff,6,train,human breast cancer
2952,1041,2,006.tiff,6,train,human breast cancer
2272,999,2,006.tiff,6,train,human breast cancer
2149,1410,2,006.tiff,6,train,human breast cancer
745,1685,1,006.tiff,6,train,human breast cancer
2713,1664,2,006.tiff,6,train,human breast cancer
1991,2284,2,006.tiff,6,train,human breast cancer
6819,2225,2,006.tiff,6,train,human breast cancer
203,2563,2,006.tiff,6,train,human breast cancer
2754,3644,2,006.tiff,6,train,human breast cancer
3198,3762,1,006.tiff,6,train,human breast cancer
4318,3192,1,006.tiff,6,train,human breast cancer
4439,3271,1,006.tiff,6,train,human breast cancer
5620,3714,2,006.tiff,6,train,human breast cancer
3948,4629,1,006.tiff,6,train,human breast cancer
3417,4341,2,006.tiff,6,train,human breast cancer
6512,4647,2,006.tiff,6,train,human breast cancer
897,1361,2,006.tiff,6,train,human breast cancer
6937,294,2,006.tiff,6,train,human breast cancer
4702,1393,2,006.tiff,6,train,human breast cancer
3598,1665,2,006.tiff,6,train,human breast cancer
3549,1878,2,006.tiff,6,train,human breast cancer
4843,4154,2,006.tiff,6,train,human breast cancer
1322,2798,2,006.tiff,6,train,human breast cancer
6094,96,2,006.tiff,6,train,human breast cancer
1418,3739,2,006.tiff,6,train,human breast cancer
2623,730,1,007.tiff,7,val,human breast cancer
1819,653,1,007.tiff,7,val,human breast cancer
1108,777,1,007.tiff,7,val,human breast cancer
275,145,2,007.tiff,7,val,human breast cancer
149,786,2,007.tiff,7,val,human breast cancer
2919,349,1,007.tiff,7,val,human breast cancer
3589,278,1,007.tiff,7,val,human breast cancer
4230,250,1,007.tiff,7,val,human breast cancer
6968,448,1,007.tiff,7,val,human breast cancer
941,956,2,007.tiff,7,val,human breast cancer
3760,1080,1,007.tiff,7,val,human breast cancer
5244,947,2,007.tiff,7,val,human breast cancer
6248,821,1,007.tiff,7,val,human breast cancer
1178,2064,2,007.tiff,7,val,human breast cancer
1510,1773,1,007.tiff,7,val,human breast cancer
2281,2142,2,007.tiff,7,val,human breast cancer
3031,1823,2,007.tiff,7,val,human breast cancer
3673,1980,2,007.tiff,7,val,human breast cancer
2088,2485,1,007.tiff,7,val,human breast cancer
3405,2563,1,007.tiff,7,val,human breast cancer
3813,2590,2,007.tiff,7,val,human breast cancer
961,3375,1,007.tiff,7,val,human breast cancer
54,3660,2,007.tiff,7,val,human breast cancer
1128,3907,2,007.tiff,7,val,human breast cancer
5593,3198,1,007.tiff,7,val,human breast cancer
6993,3553,1,007.tiff,7,val,human breast cancer
6301,3796,2,007.tiff,7,val,human breast cancer
6089,3758,1,007.tiff,7,val,human breast cancer
6898,3323,1,007.tiff,7,val,human breast cancer
2046,3969,1,007.tiff,7,val,human breast cancer
2057,4431,2,007.tiff,7,val,human breast cancer
3010,4459,2,007.tiff,7,val,human breast cancer
4078,4330,2,007.tiff,7,val,human breast cancer
2824,5019,1,007.tiff,7,val,human breast cancer
3612,5179,1,007.tiff,7,val,human breast cancer
4001,5127,1,007.tiff,7,val,human breast cancer
4398,5021,2,007.tiff,7,val,human breast cancer
6681,2815,2,007.tiff,7,val,human breast cancer
6922,2004,1,007.tiff,7,val,human breast cancer
6607,4882,2,007.tiff,7,val,human breast cancer
4412,610,2,008.tiff,8,train,human breast cancer
3939,1214,1,008.tiff,8,train,human breast cancer
931,1847,2,008.tiff,8,train,human breast cancer
4106,2183,2,008.tiff,8,train,human breast cancer
2283,2757,2,008.tiff,8,train,human breast cancer
1661,3539,2,008.tiff,8,train,human breast cancer
2325,3359,2,008.tiff,8,train,human breast cancer
2147,4055,2,008.tiff,8,train,human breast cancer
4680,4271,1,008.tiff,8,train,human breast cancer
405,5104,1,008.tiff,8,train,human breast cancer
6291,5365,1,008.tiff,8,train,human breast cancer
3148,239,2,008.tiff,8,train,human breast cancer
2928,3076,2,008.tiff,8,train,human breast cancer
1019,5098,2,008.tiff,8,train,human breast cancer
3429,4016,2,008.tiff,8,train,human breast cancer
3872,4997,2,008.tiff,8,train,human breast cancer
